partner,border,comlang,dist,pop,gdp,gdpcap,colony,gatt,rta,EU,import,export,tradevalue
GRC,0,0,2481.971,10.82373,1.95E+11,18002.23,0,1,1,1,354494.3,83264.55,437758.9
GRD,0,1,6965.079,0.106825,9.84E+08,9212.02,1,1,1,0,350.832,1743.285,2094.117
GTM,0,0,8684.767,16.3429,6.38E+10,3903.479,0,1,1,0,100535.3,1648.806,102184.1
GUY,0,1,7245.267,0.767085,3.17E+09,4127.351,1,1,1,0,69887.58,3236.014,73123.59
HKG,0,1,9631.606,7.3057,3.09E+11,42327.84,1,1,0,0,29867.32,297221.6,327088.9
HND,0,0,8445.634,8.07506,2.04E+10,2528.894,0,1,1,0,94631.06,246.532,94877.59
HRV,0,0,1519.768,4.224404,4.87E+10,11535.83,0,1,1,1,8869.869,17583.76,26453.63
HTI,0,0,7105.569,10.71107,8.77E+09,818.3433,0,1,1,0,0,154.054,154.054
HUN,0,0,1583.533,9.844686,1.22E+11,12363.54,0,1,1,1,204279.6,66454.03,270733.7
IDN,0,0,11766.46,257.5638,8.62E+11,3346.487,0,1,0,0,224334.7,17576.52,241911.2
IND,0,1,7324.15,1311.051,2.10E+12,1598.259,1,1,0,0,716358.8,24425.89,740784.6
IRL,1,1,425.3322,4.640703,2.84E+11,61133.67,1,1,1,1,6158655,4377104,1.05E+07
IRQ,0,0,4216.351,36.42339,1.80E+11,4943.76,1,0,0,0,0,8160.318,8160.318
ISL,0,0,1745.983,0.330823,1.66E+10,50173.34,0,1,1,0,423284.7,40944.82,464229.5
ISR,0,1,3695.057,8.3804,2.99E+11,35728.09,1,1,1,0,124707.4,49341.61,174049
ITA,0,0,1487.006,60.80209,1.82E+12,29957.8,0,1,1,1,2415733,514711.9,2930445
JAM,0,1,7471.524,2.725941,1.43E+10,5232.024,1,1,1,0,60009.85,8656.57,68666.42
JOR,0,0,3765.103,7.594547,3.75E+10,4940.046,1,1,1,0,11026.28,28115.03,39141.31
JPN,0,0,9436.248,126.9585,4.12E+12,32477.21,0,1,0,0,37007.47,179331.3,216338.8
KAZ,0,0,4984.363,17.54413,1.84E+11,10509.98,0,1,0,0,5563.011,2361.335,7924.346
KEN,0,1,6986.746,46.0503,6.34E+10,1376.713,1,1,0,0,297750.6,14948.78,312699.4
KGZ,0,0,5541.417,5.957,6.57E+09,1103.215,0,1,0,0,29.145,181.117,210.262
KHM,0,0,10012.89,15.5779,1.80E+10,1158.69,0,1,0,0,10801.33,205.923,11007.25
KIR,0,1,14018.77,0.112423,1.60E+08,1424.281,1,0,0,0,0,0,0
KNA,0,1,6583.625,0.055572,8.76E+08,15771.95,1,1,1,0,0,1425.536,1425.536
KOR,0,0,8931.778,50.61705,1.38E+12,27221.53,0,1,1,0,24352.17,99841.68,124193.9
KWT,0,0,4764.47,3.892115,1.14E+11,29300.57,1,1,0,0,0,51029.99,51029.99
LAO,0,0,9409.043,6.802023,1.24E+10,1818.441,0,1,0,0,1716.73,56.761,1773.491
LBN,0,0,3585.711,5.850743,4.71E+10,8047.646,0,0,1,0,7831.992,47942.14,55774.13
LBR,0,1,5216.656,4.503438,2.05E+09,455.8739,0,0,0,0,0,3095.454,3095.454
LCA,0,1,6755.111,0.184999,1.43E+09,7735.911,1,1,1,0,7656.871,5121.867,12778.74
LKA,0,0,8777.721,20.966,8.23E+10,3926.175,1,1,0,0,39212.11,3634.592,42846.71
LSO,0,1,9545.911,2.135022,2.28E+09,1066.986,1,1,0,0,172.976,0,172.976
LTU,0,0,1679.842,2.910199,4.12E+10,14147.05,0,1,1,1,130789.7,16717.8,147507.5
LUX,0,0,621.0148,0.569676,5.78E+10,101450,0,1,1,1,15179.09,5789.293,20968.38
