"","census2019","covid.19.deaths","urban.rural.description","series_complete_pop_pct"
"160",119992,673,"Large central metro",37.9
"161",67580,124,"Medium central metro",44.3
"162",13392,NA,"Micropolitan",25.4
"163",289430,1496,"Medium central metro",56.4
"164",10907,NA,"Medium central metro",95
"165",24789,NA,"Micropolitan",38.2
"166",258773,481,"Large central metro",49.8
"167",128331,806,"Small central metro",46.7
"168",2834,NA,"Rural",64.7
"169",292256,413,"Large central metro",43.7
"170",6618,NA,"Micropolitan",40.1
"171",760141,2012,"Large central metro",58.5
"172",43273,275,"Micropolitan",37.3
"173",45600,247,"Micropolitan",40.2
"174",156714,NA,"Medium central metro",50.8
"175",17270,NA,"Micropolitan",41.2
"176",148509,489,"Large central metro",44.7
"177",12404,NA,"Small central metro",41
"178",22372,159,"Micropolitan",43.8
"179",16116,NA,"Medium central metro",46.1
"180",26108,NA,"Large central metro",39.9
"181",26404,NA,"Micropolitan",49.2
"182",759297,1325,"Large central metro",56.5
"183",20605,143,"Micropolitan",35.5
"184",13390,NA,"Micropolitan",37.5
"185",87956,771,"Small central metro",49.3
"186",146343,245,"Large central metro",46.5
"187",10190,NA,"Micropolitan",49
"188",4006,NA,"Small central metro",31.1
"189",64296,NA,"Medium central metro",38.7
"190",19194,NA,"Micropolitan",42.1
"191",22646,118,"Micropolitan",40.3
"192",10654,NA,"Micropolitan",40.7
"193",26188,109,"Rural",42.1
"194",114421,557,"Large central metro",62.4
"195",98498,939,"Small central metro",42.5
"196",244252,571,"Large central metro",53.1
"197",23349,NA,"Rural",36
"198",1063937,3124,"Large central metro",56.5
"199",31369,NA,"Micropolitan",41
"200",2971,NA,"Rural",33.3
"201",85292,542,"Small central metro",51.6
"202",57963,289,"Micropolitan",37.7
"203",24633,NA,"Micropolitan",44.1
"204",18324,NA,"Micropolitan",54.7
"205",936250,1510,"Large central metro",55.3
"206",45328,139,"Micropolitan",40.3
"207",204441,1702,"Small central metro",45.3
"208",8457,NA,"Micropolitan",48.4
"209",29792,NA,"Large central metro",33.5
"210",35236,NA,"Medium central metro",48.5
"211",26205,NA,"Micropolitan",38.3
"212",11923,NA,"Large central metro",28.4
"213",234561,804,"Large central metro",44.4
"214",157863,498,"Small central metro",50.8
"215",9416,NA,"Micropolitan",36.7
"216",72977,NA,"Micropolitan",42.4
"217",14219,NA,"Large central metro",34.9
"218",15115,NA,"Micropolitan",31.1
"219",15362,NA,"Micropolitan",54.3
"220",8676,NA,"Micropolitan",38
"221",9643,NA,"Micropolitan",35.5
"222",28735,NA,"Small central metro",43.9
"223",19077,NA,"Large central metro",34.9
"224",10423,NA,"Small central metro",27.1
"225",47546,382,"Micropolitan",46.6
"226",29992,NA,"Small central metro",46.3
"227",61435,NA,"Small central metro",62
"228",7921,NA,"Medium central metro",46.2
"229",19559,NA,"Small central metro",21.4
"230",117406,598,"Small central metro",40.1
"231",33610,NA,"Micropolitan",34.5
"232",21312,NA,"Medium central metro",45.1
"233",14378,NA,"Small central metro",41.4
"234",12947,NA,"Micropolitan",43.4
"235",29880,NA,"Small central metro",43.4
"236",8359,NA,"Medium central metro",41.5
"237",21167,NA,"Large central metro",41.7
"238",5718,NA,"Rural",54.4
"239",21863,NA,"Micropolitan",47.7
"240",27578,NA,"Small central metro",42.2
"241",9172,NA,"Rural",35.9
"242",19276,NA,"Large central metro",45.5
"243",40096,NA,"Small central metro",37.3
"244",195769,1355,"Medium central metro",44.9
"245",111744,325,"Large central metro",42.3
"246",40280,NA,"Small central metro",57.2
"247",15259,NA,"Small central metro",42.4
"248",168667,278,"Large central metro",37.4
"249",27546,NA,"Small central metro",45.6
"250",32591,225,"Large central metro",41.7
"251",19465,NA,"Micropolitan",33.4
"252",18962,NA,"Large central metro",32.7
"253",42613,NA,"Micropolitan",39
"254",11137,NA,"Small central metro",37.2
"255",22119,NA,"Micropolitan",43.4
"256",2299,NA,"Rural",33.1
"257",17137,NA,"Micropolitan",46.3
"258",6778,NA,"Micropolitan",46.6
"259",202518,2039,"Medium central metro",49.7
"260",90896,322,"Large central metro",50.8
"261",5257,NA,"Rural",34.9
"262",13966,NA,"Micropolitan",48.3
"263",8090,NA,"Micropolitan",45.7
"264",66703,516,"Large central metro",40.6
"265",25925,NA,"Micropolitan",41.4
"266",6621,NA,"Rural",32.6
"267",29524,163,"Micropolitan",52
"268",6195,NA,"Rural",48.5
"269",1537,NA,"Rural",50.8
"270",25286,NA,"Micropolitan",33.1
"271",8020,NA,"Rural",45.8
"272",15860,NA,"Micropolitan",29.2
"273",8531,NA,"Small central metro",58.3
"274",44451,327,"Micropolitan",49.1
"275",40644,387,"Micropolitan",40.5
"276",26830,286,"Micropolitan",42.1
"277",12037,NA,"Rural",48.9
"278",6901,NA,"Micropolitan",35.2
"279",69922,467,"Micropolitan",37
"280",7985,NA,"Micropolitan",50
"281",8120,NA,"Small central metro",54.2
"282",24511,167,"Rural",45.6
"283",26320,336,"Micropolitan",45.7
"284",69761,112,"Medium central metro",41.6
"285",94593,366,"Large central metro",41.4
"286",35734,355,"Micropolitan",38.5
"287",5254,NA,"Rural",48.2
"288",20374,NA,"Micropolitan",44.2
"289",29927,180,"Micropolitan",42.2
"290",2607,NA,"Rural",44.1
"291",7855,NA,"Rural",26.6
"292",30798,NA,"Micropolitan",35.8
"293",104628,464,"Small central metro",43.5
"294",8635,NA,"Rural",36.6
"295",9777,NA,"Micropolitan",48.2
"296",8954,NA,"Rural",51
"297",20247,NA,"Small central metro",41.7
"298",201513,225,"Micropolitan",NA
"299",974563,1329,"Medium central metro",NA
"300",86,NA,"Small central metro",NA
"301",72293,NA,"Micropolitan",NA
"302",167417,187,"Small central metro",NA
"303",481587,1681,"Medium central metro",64.4
"304",4294,NA,"Rural",44
"305",87808,324,"Small central metro",52.8
"306",6125,NA,"Rural",47.2
"307",9298,NA,"Micropolitan",52.8
"308",46811,NA,"Micropolitan",49
"309",23021,NA,"Micropolitan",83.2
"310",7831,NA,"Medium central metro",33.8
"311",45739,146,"Micropolitan",44
"312",119062,487,"Small central metro",54.9
"313",12245,NA,"Micropolitan",35.9
"314",2597,NA,"Small central metro",50.3
"315",1106,NA,"Rural",43.3
"316",229849,657,"Medium central metro",46.7
"317",7155,NA,"Micropolitan",42.1
"318",24030,NA,"Micropolitan",41.2
"319",845,NA,"Rural",46
"320",8756,NA,"Micropolitan",42.8
"321",4315,NA,"Rural",49
"322",27511,NA,"Micropolitan",56.3
"323",13876,NA,"Small central metro",46.1
"324",13099,NA,"Micropolitan",46.5
"325",18112,NA,"Medium central metro",40.2
"326",15179,NA,"Micropolitan",44.7
"327",16667,NA,"Micropolitan",30.8
"328",29871,NA,"Small central metro",45
"329",24412,NA,"Micropolitan",46.5
"330",165697,757,"Small central metro",46.9
"331",40108,NA,"Micropolitan",59.1
"332",8027,NA,"Micropolitan",49.4
"333",3838,NA,"Rural",52.7
"334",5366,NA,"Rural",41.8
"335",39907,NA,"Micropolitan",56.1
