"","census2019","covid.19.deaths","urban.rural.description","series_complete_pop_pct"
"700",34237,NA,"Large central metro",47.7
"701",5979,NA,"Micropolitan",53.5
"702",31829,130,"Micropolitan",45.9
"703",5620,NA,"Rural",56.1
"704",2587,NA,"Rural",42.1
"705",3337,NA,"Rural",75.3
"706",10231,NA,"Micropolitan",54.6
"707",16007,NA,"Micropolitan",28.1
"708",2750,NA,"Rural",52.6
"709",5361,NA,"Micropolitan",53
"710",15949,NA,"Small central metro",51.2
"711",3421,NA,"Rural",41.9
"712",5704,NA,"Rural",44.2
"713",6414,NA,"Micropolitan",54
"714",5234,NA,"Micropolitan",43.4
"715",24383,NA,"Small central metro",41.4
"716",9164,NA,"Micropolitan",49.2
"717",2530,NA,"Rural",43
"718",61998,313,"Micropolitan",49.6
"719",4636,NA,"Rural",50.8
"720",9537,NA,"Micropolitan",43.9
"721",5634,NA,"Rural",62.8
"722",74232,125,"Small central metro",39.4
"723",4920,NA,"Rural",48.6
"724",3036,NA,"Rural",50.8
"725",6856,NA,"Micropolitan",43.2
"726",54224,335,"Micropolitan",50.5
"727",4823,NA,"Micropolitan",48.2
"728",516042,2147,"Medium central metro",54.4
"729",21428,NA,"Micropolitan",46.1
"730",176875,954,"Small central metro",61.6
"731",2521,NA,"Rural",35.5
"732",5917,NA,"Micropolitan",44.3
"733",3583,NA,"Rural",44.9
"734",4156,NA,"Rural",46.7
"735",2006,NA,"Rural",51
"736",5485,NA,"Micropolitan",39.1
"737",22836,NA,"Medium central metro",43.6
"738",7777,NA,"Micropolitan",41.6
"739",2803,NA,"Rural",39.4
"740",6931,NA,"Small central metro",47.8
"741",1518,NA,"Rural",37.5
"742",288000,755,"Medium central metro",67.8
"743",5406,NA,"Rural",54.2
"744",2119,NA,"Rural",51.4
"745",8525,NA,"Micropolitan",44.2
"746",3138,NA,"Rural",42.3
"747",165429,874,"Large central metro",57.8
"748",18386,NA,"Micropolitan",67.4
"749",836,NA,"Rural",95
"750",2097,NA,"Rural",54.3
"751",4916,NA,"Rural",52.4
"752",96849,198,"Small central metro",60.3
"753",2530,NA,"Rural",68.8
"754",19202,NA,"Micropolitan",39.4
"755",21315,NA,"Small central metro",39.7
"756",22747,NA,"Micropolitan",55.5
"757",7888,NA,"Rural",38.5
"758",44249,340,"Micropolitan",46.1
"759",12500,NA,"Rural",54.1
"760",26032,144,"Micropolitan",45.9
"761",133581,270,"Large central metro",62.4
"762",19788,NA,"Medium central metro",58.2
"763",46718,614,"Medium central metro",49.3
"764",30060,426,"Micropolitan",57.1
"765",8303,NA,"Large central metro",47.4
"766",12630,NA,"Micropolitan",52.8
"767",20477,NA,"Rural",49.3
"768",81676,NA,"Large central metro",45.5
"769",12879,NA,"Small central metro",45.4
"770",12747,NA,"Micropolitan",52.4
"771",39001,113,"Micropolitan",45.8
"772",93584,391,"Large central metro",63.9
"773",4760,NA,"Rural",41.1
"774",10631,NA,"Micropolitan",46.8
"775",26797,NA,"Micropolitan",49.3
"776",16159,NA,"Rural",36.4
"777",70461,193,"Medium central metro",36.6
"778",36263,113,"Medium central metro",54.8
"779",2148,NA,"Rural",70.6
"780",19901,NA,"Micropolitan",44.6
"781",10218,NA,"Rural",41
"782",8806,NA,"Micropolitan",41.1
"783",6614,NA,"Rural",44.9
"784",101511,693,"Small central metro",54.3
"785",12150,NA,"Small central metro",34.7
"786",7517,NA,"Rural",35.7
"787",14106,NA,"Micropolitan",52
"788",323152,1753,"Medium central metro",66.8
"789",14581,NA,"Micropolitan",51.9
"790",35589,204,"Micropolitan",57.2
"791",50991,234,"Micropolitan",61.5
"792",5969,NA,"Rural",59
"793",8869,NA,"Large central metro",41.3
"794",17666,NA,"Micropolitan",48.3
"795",25069,NA,"Large central metro",49.1
"796",37266,178,"Micropolitan",45.7
"797",26427,NA,"Micropolitan",51.5
"798",10941,NA,"Rural",43.8
"799",35098,NA,"Medium central metro",52.4
"800",8722,NA,"Small central metro",59.4
"801",110958,636,"Small central metro",63
"802",26010,119,"Micropolitan",46.5
"803",18886,NA,"Micropolitan",50.2
"804",19035,NA,"Rural",35.7
"805",31974,NA,"Micropolitan",77
"806",45210,128,"Medium central metro",51.3
"807",16126,NA,"Large central metro",54
"808",4380,NA,"Rural",37.5
"809",44686,310,"Micropolitan",51.9
"810",13329,NA,"Rural",36.8
"811",766757,4005,"Large central metro",64.1
"812",54115,NA,"Medium central metro",54
"813",22188,NA,"Micropolitan",50.4
"814",166998,574,"Large central metro",60.6
"815",14806,NA,"Rural",48
"816",31145,NA,"Micropolitan",36.6
"817",14398,NA,"Small central metro",43.8
"818",60813,328,"Micropolitan",40.6
"819",15317,NA,"Micropolitan",48.6
"820",7403,NA,"Rural",50
"821",9877,NA,"Rural",52.3
"822",21553,105,"Rural",53.3
"823",13275,NA,"Rural",39.2
"824",24549,NA,"Micropolitan",41.1
"825",9194,NA,"Rural",49.5
"826",27102,NA,"Micropolitan",51
"827",8210,NA,"Rural",58.5
"828",65418,748,"Micropolitan",55.9
"829",17231,NA,"Rural",39.3
"830",9207,NA,"Small central metro",51.1
"831",92987,271,"Micropolitan",48.1
"832",12161,NA,"Rural",51.3
"833",19273,NA,"Micropolitan",50.6
"834",31100,NA,"Micropolitan",53.7
"835",11195,NA,"Rural",54.3
"836",17070,151,"Micropolitan",51.1
"837",28572,NA,"Small central metro",39.4
"838",6489,NA,"Rural",44.5
"839",21933,NA,"Micropolitan",54.7
"840",10071,NA,"Rural",40.7
"841",10650,NA,"Rural",46.3
"842",28157,NA,"Micropolitan",47
"843",13309,NA,"Rural",48.3
"844",30622,NA,"Micropolitan",51.1
"845",46233,NA,"Micropolitan",52.4
"846",7269,NA,"Rural",53.2
"847",23994,NA,"Micropolitan",39.8
"848",66799,104,"Large central metro",57.4
"849",10901,NA,"Rural",37.8
"850",4415,NA,"Rural",47.6
"851",14590,NA,"Large central metro",44.2
"852",25758,454,"Micropolitan",62.4
"853",57876,732,"Micropolitan",52.9
"854",12359,NA,"Micropolitan",53
"855",64979,454,"Micropolitan",46.4
"856",2108,NA,"Rural",38.7
"857",16695,119,"Micropolitan",40.6
"858",24460,174,"Micropolitan",52.3
"859",17923,NA,"Rural",45.9
"860",57004,NA,"Medium central metro",55.9
"861",49024,NA,"Large central metro",47
"862",18572,NA,"Micropolitan",50.7
"863",19351,NA,"Large central metro",30.1
"864",25769,108,"Micropolitan",48.2
"865",12294,NA,"Rural",42.5
"866",58708,NA,"Micropolitan",48.4
"867",14651,NA,"Medium central metro",47.1
"868",8471,NA,"Large central metro",43.8
"869",14381,NA,"Micropolitan",42.3
"870",132896,877,"Small central metro",38.7
"871",12095,NA,"Rural",51.2
"872",20333,NA,"Micropolitan",42.2
"873",12942,NA,"Rural",46.2
"874",36264,324,"Micropolitan",44.5
"875",7157,NA,"Rural",53.9
"876",26734,NA,"Medium central metro",66.3
"877",13901,NA,"Micropolitan",65.8
"878",12998,NA,"Micropolitan",65.3
"879",1592,NA,"Rural",58
"880",108317,240,"Medium central metro",40.7
"881",10004,NA,"Micropolitan",70.7
"882",9832,NA,"Micropolitan",39.1
"883",7621,NA,"Micropolitan",61.3
"884",3266,NA,"Rural",76.2
"885",6203,NA,"Rural",53.6
"886",62045,166,"Medium central metro",53
"887",25627,NA,"Micropolitan",36.1
"888",126604,108,"Medium central metro",51
"889",21891,NA,"Micropolitan",43.6
"890",40144,NA,"Micropolitan",46.8
"891",37497,NA,"Micropolitan",35.9
"892",13241,NA,"Micropolitan",49.2
"893",127039,384,"Medium central metro",50.7
"894",240204,1964,"Medium central metro",48.6
"895",203436,725,"Small central metro",42.6
"896",9918,NA,"Rural",38.8
"897",6973,NA,"Small central metro",17.9
"898",9494,NA,"Rural",40.8
"899",15670,NA,"Micropolitan",41
"900",19259,NA,"Micropolitan",43.7
"901",27463,NA,"Medium central metro",43
"902",440059,2419,"Medium central metro",56.1
"903",6861,NA,"Micropolitan",46.6
"904",19135,NA,"Medium central metro",40.8
"905",33395,105,"Micropolitan",38.8
"906",20015,NA,"Micropolitan",37.1
"907",22389,NA,"Small central metro",42.7
"908",69830,165,"Medium central metro",47.2
"909",32511,NA,"Medium central metro",56.3
"910",15744,NA,"Micropolitan",42.8
"911",432493,1960,"Large central metro",65.5
"912",31368,119,"Micropolitan",37
"913",244390,944,"Medium central metro",50.3
"914",97614,390,"Small central metro",45.3
"915",14892,NA,"Micropolitan",45.1
"916",46742,146,"Micropolitan",43.4
"917",140789,NA,"Medium central metro",40
"918",10951,NA,"Micropolitan",45.9
"919",24874,NA,"Micropolitan",46.1
"920",38158,148,"Micropolitan",43.4
"921",390144,962,"Large central metro",70
"922",153279,1240,"Small central metro",45.4
"923",23197,NA,"Large central metro",69.2
"924",21730,NA,"Medium central metro",55.6
"925",129648,913,"Small central metro",49.9
"926",8442,NA,"Rural",36.8
"927",20122,NA,"Micropolitan",43.2
"928",23884,NA,"Micropolitan",38.4
"929",47244,NA,"Large central metro",49.2
"930",53100,NA,"Large central metro",56.9
"931",10132,NA,"Medium central metro",31.5
"932",21096,NA,"Large central metro",51.9
"933",42837,NA,"Large central metro",60
"934",82124,337,"Micropolitan",41.8
"935",53431,NA,"Medium central metro",40.4
"936",49348,193,"Micropolitan",45.2
"937",260419,1026,"Large central metro",56.9
"938",134758,613,"Small central metro",46.6
"939",4334,NA,"Rural",63
"940",110461,316,"Small central metro",45.6
"941",22108,NA,"Small central metro",45.5
"942",59511,NA,"Medium central metro",38.3
"943",47429,NA,"Micropolitan",56.7
"944",46194,138,"Micropolitan",42.1
"945",38340,116,"Medium central metro",43.2
"946",26465,NA,"Medium central metro",53.8
"947",10830,NA,"Rural",40.8
"948",15568,NA,"Medium central metro",89.7
"949",13904,NA,"Micropolitan",47.8
"950",8493,NA,"Micropolitan",78.9
"951",1183,NA,"Rural",70.4
"952",6893,NA,"Rural",41
"953",9202,NA,"Rural",63.1
"954",2502,NA,"Rural",58.2
"955",579,NA,"Rural",78.8
"956",5230,NA,"Rural",77.5
"957",108277,421,"Small central metro",70.4
"958",67055,166,"Micropolitan",69.4
"959",295003,743,"Medium central metro",88
"960",30199,NA,"Micropolitan",64.5
"961",54987,NA,"Micropolitan",77.2
"962",122302,308,"Micropolitan",72.2
"963",39772,NA,"Micropolitan",84.4
"964",34634,NA,"Rural",81.2
"965",57975,126,"Micropolitan",68.6
"966",152148,513,"Small central metro",71.5
"967",16785,NA,"Rural",62.2
"968",35856,NA,"Medium central metro",80
"969",50484,NA,"Micropolitan",62
"970",39715,NA,"Micropolitan",71.8
"971",31379,NA,"Micropolitan",72.6
"972",207641,316,"Medium central metro",79.8
"973",70416,506,"Small central metro",55.7
"974",579234,1336,"Large central metro",77
"975",827370,2577,"Large central metro",72.8
"976",92525,156,"Large central metro",70.9
"977",33406,NA,"Micropolitan",57.3
"978",168447,502,"Large central metro",72.2
"979",102855,282,"Large central metro",58.7
"980",163257,349,"Large central metro",70.6
"981",31929,NA,"Micropolitan",59.6
"982",259547,573,"Large central metro",78.8
"983",29014,139,"Micropolitan",51.2
"984",255441,624,"Large central metro",70
"985",325690,392,"Large central metro",86
"986",19422,NA,"Micropolitan",65.7
"987",1050688,3184,"Large central metro",87.3
"988",909327,2100,"Large central metro",75.1
"989",50381,NA,"Large central metro",67.5
"990",113510,255,"Small central metro",66.7
"991",25616,NA,"Medium central metro",50.4
"992",37181,164,"Micropolitan",73.8
"993",151049,708,"Medium central metro",59.9
"994",103609,602,"Medium central metro",56.1
"995",52276,193,"Medium central metro",72.1
"996",593490,2780,"Large central metro",64.3
"997",212990,580,"Small central metro",NA
"998",124944,400,"Small central metro",59
"999",565217,2005,"Large central metro",66.1
"1000",17332,NA,"Micropolitan",NA
"1001",789034,2553,"Large central metro",74.4
"1002",70180,NA,"Micropolitan",68.6
"1003",466372,1927,"Medium central metro",66.1
"1004",160830,292,"Medium central metro",67.1
"1005",1611699,4125,"Large central metro",79.8
"1006",11399,NA,"Micropolitan",NA
"1007",706775,1547,"Large central metro",79.3
"1008",521202,1465,"Large central metro",70.3
"1009",803907,3023,"Large central metro",73.5
"1010",830622,2689,"Medium central metro",70.3
"1011",10405,NA,"Rural",58.3
"1012",9108,NA,"Micropolitan",62.6
"1013",118081,160,"Micropolitan",52.3
"1014",28405,196,"Micropolitan",55.8
"1015",23324,NA,"Rural",58.2
"1016",14883,NA,"Rural",51.3
"1017",8209,NA,"Rural",61.2
"1018",61550,NA,"Medium central metro",49.2
"1019",103126,650,"Small central metro",57.4
"1020",17766,NA,"Rural",63.1
"1021",153401,610,"Small central metro",56.2
"1022",43517,126,"Micropolitan",45.4
"1023",134159,526,"Small central metro",52.3
"1024",51787,NA,"Medium central metro",43.7
"1025",26143,NA,"Micropolitan",64.2
"1026",25276,NA,"Micropolitan",56.2
"1027",37349,NA,"Micropolitan",69.9
"1028",30950,NA,"Micropolitan",46.4
"1029",79595,NA,"Medium central metro",57.5
"1030",14029,105,"Micropolitan",51.2
"1031",35784,138,"Micropolitan",61.8
"1032",25239,128,"Micropolitan",66.6
"1033",110268,133,"Medium central metro",57.1
"1034",33415,203,"Micropolitan",72.5
"1035",405813,1782,"Medium central metro",50.7
"1036",25449,NA,"Micropolitan",48
"1037",13975,NA,"Micropolitan",63.8
"1038",93088,512,"Micropolitan",67.3
"1039",40711,206,"Micropolitan",46.1
"1040",45605,118,"Micropolitan",38.8
"1041",35684,NA,"Micropolitan",52.4
"1042",30981,NA,"Micropolitan",54.1
"1043",292406,1220,"Medium central metro",57.2
"1044",64697,NA,"Micropolitan",47.3
"1045",25127,113,"Micropolitan",56.3
"1046",11066,NA,"Micropolitan",55.9
"1047",69872,155,"Micropolitan",44.8
"1048",158510,637,"Small central metro",52.5
"1049",265066,1214,"Medium central metro",61.6
"1050",18038,NA,"Micropolitan",46.7
"1051",656955,2221,"Medium central metro",61.5
"1052",2116,NA,"Rural",58.4
"1053",11853,NA,"Rural",64.1
"1054",87607,359,"Large central metro",47.5
"1055",21761,NA,"Rural",82.3
"1056",98451,238,"Micropolitan",53.1
"1057",191995,225,"Large central metro",60.2
"1058",6229,NA,"Micropolitan",44.8
"1059",10799,NA,"Micropolitan",74.9
"1060",873972,2862,"Large central metro",56.9
"1061",24558,NA,"Micropolitan",60.1
"1062",66699,247,"Micropolitan",64.2
"1063",29144,NA,"Micropolitan",60.8
"1064",43453,105,"Micropolitan",42.1
"1065",22780,NA,"Micropolitan",57.4
"1066",83156,337,"Small central metro",59.1
"1067",15118,NA,"Rural",48.5
"1068",150500,285,"Small central metro",57.1
"1069",63888,160,"Medium central metro",42.6
"1070",9328,NA,"Rural",54.5
"1071",173566,720,"Small central metro",55.1
"1072",48980,NA,"Micropolitan",44.8
"1073",1257584,5459,"Large central metro",66.4
"1074",26467,NA,"Micropolitan",54.6
"1075",20997,102,"Rural",45.4
"1076",5720,NA,"Rural",69.3
"1077",23460,NA,"Rural",42.2
"1078",8241,NA,"Rural",41.9
"1079",24668,NA,"Micropolitan",55.6
"1080",291830,593,"Medium central metro",57.7
"1081",12592,NA,"Micropolitan",60
"1082",24019,NA,"Micropolitan",56.3
"1083",190539,1243,"Small central metro",53.1
"1084",159128,763,"Large central metro",49.7
"1085",60964,108,"Micropolitan",45.3
"1086",41170,NA,"Micropolitan",42.7
"1087",8094,NA,"Micropolitan",55.9
"1088",68122,183,"Micropolitan",51.4
"1089",52245,NA,"Micropolitan",46.1
"1090",75677,123,"Medium central metro",57.4
"1091",367601,1304,"Medium central metro",71.2
"1092",1749343,7449,"Large central metro",54.3
"1093",33631,133,"Micropolitan",51.5
"1094",15886,NA,"Rural",59
"1095",356921,952,"Large central metro",59.5
"1096",34423,NA,"Micropolitan",54.7
"1097",47188,147,"Micropolitan",68.1
"1098",40889,116,"Small central metro",43.8
"1099",4991,NA,"Rural",63.3
"1100",67653,179,"Small central metro",60.8
"1101",25008,NA,"Micropolitan",66
"1102",35871,NA,"Medium central metro",64.6
"1103",105089,146,"Large central metro",67.5
"1104",29779,NA,"Rural",57.1
"1105",11800,NA,"Micropolitan",53.5
"1106",56579,107,"Large central metro",57.6
"1107",64222,NA,"Small central metro",60.1
"1108",8818,NA,"Rural",41.9
"1109",5463,NA,"Rural",80.4
"1110",11196,NA,"Micropolitan",56.2
"1111",65055,188,"Micropolitan",56.7
"1112",429021,598,"Large central metro",69.8
"1113",20934,NA,"Small central metro",60.6
"1114",38141,121,"Micropolitan",57.6
"1115",13653,NA,"Micropolitan",57.6
"1116",21067,NA,"Small central metro",68.8
"1117",30281,NA,"Micropolitan",57.8
"1118",46340,125,"Micropolitan",66.7
"1119",5972,NA,"Rural",55.3
"1120",1265843,3880,"Large central metro",74.3
"1121",18600,NA,"Small central metro",59.4
"1122",21491,NA,"Micropolitan",47.5
"1123",40596,NA,"Large central metro",43.3
"1124",45130,120,"Micropolitan",56.7
"1125",9846,NA,"Micropolitan",51.1
"1126",16337,NA,"Micropolitan",43
"1127",43199,136,"Micropolitan",54.4
"1128",4298,NA,"Rural",59.8
"1129",12229,NA,"Micropolitan",58.9
"1130",6623,NA,"Rural",58.8
"1131",10641,NA,"Micropolitan",66.7
"1132",3740,NA,"Rural",55.3
"1133",28887,NA,"Large central metro",49.4
"1134",5639,NA,"Rural",53.4
"1135",25474,NA,"Micropolitan",56.7
"1136",35893,NA,"Micropolitan",58.2
"1137",5527,NA,"Rural",60.3
"1138",9336,NA,"Rural",50.1
"1139",19683,NA,"Micropolitan",55.5
"1140",23222,NA,"Micropolitan",48.2
"1141",26277,NA,"Large central metro",58.1
"1142",33386,NA,"Micropolitan",49.4
"1143",40062,NA,"Micropolitan",62.5
"1144",8194,NA,"Rural",54.8
"1145",34274,NA,"Small central metro",62.8
"1146",21629,NA,"Micropolitan",61.4
"1147",6375,NA,"Rural",60.5
"1148",158293,590,"Small central metro",77.1
"1149",58746,117,"Micropolitan",51
"1150",14119,NA,"Micropolitan",53.8
"1151",29579,NA,"Micropolitan",49.2
"1152",9126,NA,"Micropolitan",54.7
"1153",31364,NA,"Small central metro",58.3
"1154",11249,NA,"Rural",57.5
"1155",550321,2166,"Large central metro",72
"1156",4055,NA,"Rural",56.6
"1157",15170,NA,"Micropolitan",54.5
"1158",14548,NA,"Rural",55.1
"1159",66972,133,"Micropolitan",63.2
"1160",9315,NA,"Micropolitan",54.6
"1161",15165,NA,"Micropolitan",51.7
"1162",199070,882,"Medium central metro",66.8
"1163",149013,187,"Large central metro",69.8
"1164",97238,105,"Large central metro",46.3
"1165",14865,NA,"Large central metro",49.3
"1166",161075,709,"Small central metro",59.2
"1167",36649,NA,"Micropolitan",61
"1168",9805,NA,"Micropolitan",58.2
"1169",9266,NA,"Micropolitan",57.9
"1170",24664,NA,"Micropolitan",43.1
"1171",3259,NA,"Rural",63.9
"1172",21627,NA,"Small central metro",74
"1173",13682,NA,"Micropolitan",49.9
"1174",18612,NA,"Micropolitan",57.4
"1175",262440,434,"Large central metro",70.7
"1176",10897,NA,"Micropolitan",58.6
"1177",6207,NA,"Micropolitan",54.8
"1178",50484,NA,"Micropolitan",65.3
"1179",138377,209,"Large central metro",55.1
"1180",9709,NA,"Rural",56.9
"1181",30693,167,"Micropolitan",55
"1182",36953,284,"Micropolitan",39.2
"1183",12297,NA,"Rural",40.1
"1184",18174,NA,"Micropolitan",54.3
"1185",8259,NA,"Large central metro",51.9
"1186",30628,NA,"Micropolitan",59.1
"1187",14361,NA,"Rural",44.2
"1188",9947,NA,"Rural",41.3
"1189",17103,NA,"Micropolitan",48.6
"1190",8210,NA,"Rural",36.2
"1191",8988,NA,"Rural",55.1
"1192",15541,NA,"Rural",57.1
"1193",19316,NA,"Micropolitan",46.8
"1194",22124,NA,"Micropolitan",51.9
"1195",28065,NA,"Medium central metro",54.3
"1196",18636,NA,"Rural",51.5
"1197",184945,959,"Large central metro",54.7
"1198",74897,818,"Small central metro",43.7
"1199",7713,NA,"Rural",48.2
"1200",24500,NA,"Micropolitan",40.4
"1201",13586,NA,"Rural",37.3
"1202",20758,117,"Micropolitan",52.7
"1203",47632,NA,"Medium central metro",44.5
"1204",208080,872,"Medium central metro",55.5
"1205",231840,2082,"Medium central metro",58.1
"1206",17010,NA,"Micropolitan",60.4
"1207",8064,NA,"Micropolitan",59
"1208",1327,NA,"Rural",40.2
"1209",23390,NA,"Micropolitan",34.7
"1210",143617,576,"Medium central metro",47.9
"1211",16383,NA,"Rural",50.8
"1212",6990,NA,"Rural",71.2
"1213",11128,NA,"Rural",45.3
"1214",68098,309,"Micropolitan",43.6
"1215",9742,NA,"Rural",46.3
"1216",54019,567,"Micropolitan",55.1
"1217",63343,293,"Small central metro",59.6
"1218",74125,791,"Micropolitan",51.5
"1219",12586,NA,"Rural",55.6
"1220",22786,NA,"Micropolitan",48.8
"1221",85436,1055,"Micropolitan",43.6
"1222",28183,291,"Micropolitan",62.4
"1223",34153,177,"Micropolitan",39
"1224",58595,483,"Micropolitan",51.2
"1225",106272,278,"Medium central metro",63.7
"1226",24573,NA,"Micropolitan",46.3
"1227",35294,NA,"Large central metro",54.7
"1228",35252,210,"Micropolitan",50.6
"1229",9775,NA,"Micropolitan",55.9
"1230",29118,NA,"Micropolitan",41.8
"1231",21018,NA,"Micropolitan",53.5
"1232",10417,NA,"Micropolitan",55.4
"1233",49587,175,"Micropolitan",51.4
"1234",34192,105,"Micropolitan",47.9
"1235",55535,127,"Micropolitan",48.1
"1236",11973,NA,"Small central metro",38
"1237",39288,213,"Micropolitan",50.7
"1238",32174,NA,"Micropolitan",41.7
"1239",25126,101,"Micropolitan",42.7
"1240",6792,NA,"Micropolitan",54.1
"1241",155271,318,"Medium central metro",51.4
"1242",28124,NA,"Micropolitan",50.4
"1243",4321,NA,"Rural",56.1
"1244",26658,117,"Medium central metro",45.3
"1245",15916,NA,"Rural",34.3
"1246",18336,NA,"Micropolitan",46.1
"1247",25110,103,"Micropolitan",53.4
"1248",13809,NA,"Micropolitan",41.7
"1249",28321,NA,"Large central metro",45.1
"1250",22015,NA,"Micropolitan",42.1
"1251",19383,NA,"Rural",38.7
"1252",9632,NA,"Large central metro",52.1
"1253",28815,153,"Micropolitan",39.3
"1254",14286,NA,"Rural",41.6
"1255",45381,296,"Micropolitan",57.7
"1256",43909,302,"Micropolitan",51
"1257",20183,NA,"Micropolitan",39.2
"1258",9689,NA,"Rural",48.1
"1259",8630,NA,"Rural",65.7
"1260",17955,NA,"Micropolitan",48.1
"1261",12108,NA,"Micropolitan",65.5
"1262",29690,NA,"Medium central metro",49.4
"1263",25343,NA,"Micropolitan",45.9
"1264",17712,NA,"Small central metro",38.4
"1265",5143,NA,"Rural",56.1
"1266",25388,NA,"Micropolitan",38
"1267",35789,NA,"Micropolitan",44.5
"1268",11754,NA,"Micropolitan",33.3
"1269",16172,NA,"Large central metro",38.9
"1270",19443,NA,"Micropolitan",47.9
"1271",12133,NA,"Small central metro",33.2
"1272",180463,860,"Small central metro",62
"1273",87364,472,"Small central metro",38.8
"1274",42478,286,"Micropolitan",34.6
"1275",9020,NA,"Large central metro",39.4
"1276",44743,NA,"Small central metro",47.5
"1277",46305,270,"Micropolitan",45.5
"1278",78871,533,"Small central metro",49.1
"1279",8679,NA,"Micropolitan",49.3
"1280",5982,NA,"Rural",32.7
"1281",105780,163,"Large central metro",52
"1282",14349,NA,"Micropolitan",32.1
"1283",7426,NA,"Rural",37.9
"1284",88595,NA,"Medium central metro",46.1
"1285",6797,NA,"Rural",31.4
"1286",249948,1079,"Large central metro",54.3
"1287",20387,119,"Large central metro",47.5
"1288",76745,530,"Small central metro",52.9
"1289",17709,NA,"Micropolitan",44.6
"1290",23920,118,"Micropolitan",33.6
"1291",7561,NA,"Rural",43.3
"1292",16878,NA,"Medium central metro",35.1
"1293",8278,NA,"Rural",33.2
"1294",12547,NA,"Small central metro",28.1
"1295",15573,NA,"Micropolitan",34.2
"1296",13185,NA,"Micropolitan",24.2
"1297",29131,NA,"Micropolitan",37.4
"1298",103967,320,"Large central metro",54.4
"1299",14706,NA,"Micropolitan",50.7
"1300",6571,NA,"Rural",43.5
"1301",293086,2227,"Medium central metro",49.4
"1302",9850,NA,"Micropolitan",35.7
"1303",8352,NA,"Micropolitan",34.2
"1304",21824,NA,"Micropolitan",46.2
"1305",9544,NA,"Rural",38.2
"1306",4403,NA,"Rural",42.2
"1307",10001,NA,"Micropolitan",43.4
"1308",40117,219,"Micropolitan",33.4
"1309",10125,NA,"Micropolitan",39
"1310",703011,2841,"Large central metro",57.4
"1311",121328,155,"Small central metro",47.5
"1312",225081,498,"Large central metro",45
"1313",54062,NA,"Micropolitan",43.5
"1314",3959,NA,"Rural",39.9
"1315",35723,NA,"Micropolitan",37.5
"1316",32708,NA,"Large central metro",45.8
"1317",38355,NA,"Micropolitan",38
"1318",9776,NA,"Rural",34
"1319",59013,NA,"Large central metro",39.2
"1320",11920,NA,"Micropolitan",46.5
"1321",15227,NA,"Micropolitan",43.1
"1322",22837,NA,"Medium central metro",33.1
"1323",15117,NA,"Micropolitan",40.6
"1324",12088,NA,"Micropolitan",39.8
"1325",8697,NA,"Rural",44
"1326",28530,183,"Micropolitan",42.1
"1327",3617,NA,"Rural",35.8
"1328",25619,NA,"Micropolitan",33.5
"1329",13180,NA,"Micropolitan",43.1
"1330",16132,NA,"Small central metro",35.9
"1331",8644,NA,"Rural",44.5
"1332",11551,NA,"Micropolitan",48.8
"1333",20627,NA,"Rural",37
"1334",17076,NA,"Micropolitan",33.6
"1335",58236,883,"Small central metro",25.9
"1336",22092,NA,"Micropolitan",49.1
"1337",10529,NA,"Rural",31.3
"1338",13615,NA,"Small central metro",39.8
"1339",9174,NA,"Rural",31.7
"1340",15805,NA,"Micropolitan",31.6
"1341",19136,NA,"Micropolitan",39.7
"1342",42339,181,"Micropolitan",42.9
"1343",44573,317,"Micropolitan",43.9
"1344",18302,NA,"Micropolitan",37.6
"1345",104418,191,"Large central metro",57.2
"1346",32149,165,"Medium central metro",39
"1347",52607,NA,"Micropolitan",51.4
"1348",4696,NA,"Rural",33.9
"1349",10309,NA,"Rural",28.6
"1350",24748,NA,"Micropolitan",38.4
"1351",23018,NA,"Large central metro",40
"1352",6270,NA,"Rural",27.3
"1353",13288,NA,"Rural",29.5
"1354",402022,1029,"Large central metro",61.4
"1355",9397,NA,"Rural",34.5
"1356",17894,NA,"Micropolitan",45
"1357",67215,193,"Micropolitan",43.7
"1358",994205,4596,"Large central metro",64.2
"1359",22761,NA,"Micropolitan",46.8
"1360",4660,NA,"Rural",26.8
"1361",4902,NA,"Rural",26.5
"1362",38280,156,"Micropolitan",43.7
"1363",8166,NA,"Rural",30.7
"1364",5930,NA,"Rural",47.1
"1365",29025,NA,"Micropolitan",39.9
"1366",31952,NA,"Micropolitan",37.6
"1367",6089,NA,"Rural",43.4
"1368",55928,165,"Micropolitan",40.6
"1369",25398,NA,"Rural",32.8
"1370",20563,NA,"Micropolitan",35.2
"1371",35649,NA,"Large central metro",41.9
"1372",24730,NA,"Micropolitan",32
"1373",12873,NA,"Rural",36.4
"1374",39592,NA,"Medium central metro",42.5
"1375",2013,NA,"Rural",41.1
"1376",18289,NA,"Micropolitan",35.7
"1377",300576,1245,"Large central metro",59
"1378",9453,NA,"Micropolitan",54.2
"1379",13319,NA,"Micropolitan",89.5
"1380",6681,NA,"Rural",85.6
"1381",6237,NA,"Rural",33.8
"1382",10725,NA,"Small central metro",47.3
"1383",1252,NA,"Rural",31.2
"1384",81366,527,"Small central metro",54.8
"1385",5635,NA,"Rural",33.2
"1386",11402,NA,"Micropolitan",44.2
"1387",1690,NA,"Rural",42.2
"1388",8613,NA,"Micropolitan",37.8
"1389",9140,NA,"Micropolitan",58.2
"1390",2846,NA,"Rural",34.6
"1391",11050,NA,"Micropolitan",47.1
